2024-11-24 06:53:07,341 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,341 - WARNING - Failed to process frame
2024-11-24 06:53:07,348 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,348 - WARNING - Failed to process frame
2024-11-24 06:53:07,356 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,356 - WARNING - Failed to process frame
2024-11-24 06:53:07,363 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,363 - WARNING - Failed to process frame
2024-11-24 06:53:07,373 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,373 - WARNING - Failed to process frame
2024-11-24 06:53:07,380 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,380 - WARNING - Failed to process frame
2024-11-24 06:53:07,387 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,388 - WARNING - Failed to process frame
2024-11-24 06:53:07,395 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,395 - WARNING - Failed to process frame
2024-11-24 06:53:07,403 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,403 - WARNING - Failed to process frame
2024-11-24 06:53:07,410 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,410 - WARNING - Failed to process frame
2024-11-24 06:53:07,417 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,418 - WARNING - Failed to process frame
2024-11-24 06:53:07,425 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,425 - WARNING - Failed to process frame
2024-11-24 06:53:07,433 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,433 - WARNING - Failed to process frame
2024-11-24 06:53:07,440 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,440 - WARNING - Failed to process frame
2024-11-24 06:53:07,449 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,449 - WARNING - Failed to process frame
2024-11-24 06:53:07,456 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,456 - WARNING - Failed to process frame
